,close_approach_date,close_approach_date_full,epoch_date_close_approach,relative_velocity,miss_distance,orbiting_body
0,1900-12-27,1900-Dec-27 01:30,-2177879400000,"{'kilometers_per_second': '5.5786191875', 'kilometers_per_hour': '20083.0290749201', 'miles_per_hour': '12478.8132604691'}","{'astronomical': '0.3149291693', 'lunar': '122.5074468577', 'kilometers': '47112732.928149391', 'miles': '29274494.7651919558'}",Earth
1,1907-11-05,1907-Nov-05 03:31,-1961526540000,"{'kilometers_per_second': '4.3944908885', 'kilometers_per_hour': '15820.1671985367', 'miles_per_hour': '9830.0366684463'}","{'astronomical': '0.4714855425', 'lunar': '183.4078760325', 'kilometers': '70533232.893794475', 'miles': '43827318.620434755'}",Earth
2,1917-04-20,1917-Apr-20 21:19,-1663036860000,"{'kilometers_per_second': '4.8167840184', 'kilometers_per_hour': '17340.4224662258', 'miles_per_hour': '10774.6641707501'}","{'astronomical': '0.499257206', 'lunar': '194.211053134', 'kilometers': '74687814.59975122', 'miles': '46408855.985038036'}",Earth
3,1924-03-05,1924-Mar-05 22:13,-1446083220000,"{'kilometers_per_second': '4.5960548855', 'kilometers_per_hour': '16545.797587763', 'miles_per_hour': '10280.915173352'}","{'astronomical': '0.3597864889', 'lunar': '139.9569441821', 'kilometers': '53823292.394218643', 'miles': '33444243.0636095534'}",Earth
4,1931-01-30,1931-Jan-30 04:07,-1228247580000,"{'kilometers_per_second': '5.9208185341', 'kilometers_per_hour': '21314.9467227704', 'miles_per_hour': '13244.2789789347'}","{'astronomical': '0.1740731458', 'lunar': '67.7144537162', 'kilometers': '26040971.835879446', 'miles': '16181109.5707945148'}",Earth
5,1938-01-13,1938-Jan-13 22:04,-1008726960000,"{'kilometers_per_second': '6.0840524046', 'kilometers_per_hour': '21902.5886564605', 'miles_per_hour': '13609.4168237879'}","{'astronomical': '0.2150052405', 'lunar': '83.6370385545', 'kilometers': '32164326.017637735', 'miles': '19985985.424901343'}",Earth
6,1944-11-27,1944-Nov-27 01:41,-791936340000,"{'kilometers_per_second': '3.626098636', 'kilometers_per_hour': '13053.9550896485', 'miles_per_hour': '8111.2200388986'}","{'astronomical': '0.4030090561', 'lunar': '156.7705228229', 'kilometers': '60289296.383270507', 'miles': '37462031.6350747166'}",Earth
7,1961-04-04,1961-Apr-04 09:08,-275928720000,"{'kilometers_per_second': '3.7078364482', 'kilometers_per_hour': '13348.2112136055', 'miles_per_hour': '8294.0593510317'}","{'astronomical': '0.4424921301', 'lunar': '172.1294386089', 'kilometers': '66195880.154722887', 'miles': '41132212.6021023606'}",Earth
8,1968-02-11,1968-Feb-11 13:46,-59566440000,"{'kilometers_per_second': '6.0668849725', 'kilometers_per_hour': '21840.7859008821', 'miles_per_hour': '13571.014994912'}","{'astronomical': '0.2662714057', 'lunar': '103.5795768173', 'kilometers': '39833635.134625859', 'miles': '24751473.1315964942'}",Earth
9,1975-01-23,1975-Jan-23 07:39,159694740000,"{'kilometers_per_second': '5.8253076833', 'kilometers_per_hour': '20971.1076598791', 'miles_per_hour': '13030.6307567732'}","{'astronomical': '0.1511341909', 'lunar': '58.7912002601', 'kilometers': '22609353.042813383', 'miles': '14048800.5292673654'}",Earth
10,1981-12-29,1981-Dec-29 08:05,378461100000,"{'kilometers_per_second': '5.6652718459', 'kilometers_per_hour': '20394.9786453535', 'miles_per_hour': '12672.6465921642'}","{'astronomical': '0.3084893271', 'lunar': '120.0023482419', 'kilometers': '46149346.251893277', 'miles': '28675874.0429781426'}",Earth
11,1988-11-06,1988-Nov-06 14:56,594831360000,"{'kilometers_per_second': '4.305902138', 'kilometers_per_hour': '15501.2476969045', 'miles_per_hour': '9631.8724925571'}","{'astronomical': '0.4676402077', 'lunar': '181.9120407953', 'kilometers': '69957978.998277599', 'miles': '43469872.4247609062'}",Earth
12,2005-03-08,2005-Mar-08 22:07,1110319620000,"{'kilometers_per_second': '4.4122923953', 'kilometers_per_hour': '15884.2526231559', 'miles_per_hour': '9869.8568590937'}","{'astronomical': '0.3655672222', 'lunar': '142.2056494358', 'kilometers': '54688077.782936714', 'miles': '33981595.7867820932'}",Earth
13,2012-01-31,2012-Jan-31 11:01,1328007660000,"{'kilometers_per_second': '5.9451959021', 'kilometers_per_hour': '21402.705247412', 'miles_per_hour': '13298.8087133156'}","{'astronomical': '0.1786758136', 'lunar': '69.5048914904', 'kilometers': '26729521.135077032', 'miles': '16608954.2658937616'}",Earth
14,2019-01-15,2019-Jan-15 06:01,1547532060000,"{'kilometers_per_second': '6.0449176185', 'kilometers_per_hour': '21761.7034264303', 'miles_per_hour': '13521.8762207172'}","{'astronomical': '0.2085986871', 'lunar': '81.1448892819', 'kilometers': '31205919.274956477', 'miles': '19390459.0899223026'}",Earth
15,2025-11-30,2025-Nov-30 02:18,1764469080000,"{'kilometers_per_second': '3.7288508677', 'kilometers_per_hour': '13423.8631236067', 'miles_per_hour': '8341.0665058878'}","{'astronomical': '0.3976474744', 'lunar': '154.6848675416', 'kilometers': '59487215.181119528', 'miles': '36963641.4867163664'}",Earth
16,2042-04-06,2042-Apr-06 19:02,2280423720000,"{'kilometers_per_second': '3.7252247205', 'kilometers_per_hour': '13410.8089939193', 'miles_per_hour': '8332.9551773606'}","{'astronomical': '0.4461417254', 'lunar': '173.5491311806', 'kilometers': '66741851.837964898', 'miles': '41471463.6747876724'}",Earth
17,2049-02-12,2049-Feb-12 05:38,2496721080000,"{'kilometers_per_second': '6.0590645856', 'kilometers_per_hour': '21812.6325080767', 'miles_per_hour': '13553.5215714769'}","{'astronomical': '0.2725553389', 'lunar': '106.0240268321', 'kilometers': '40773698.156568143', 'miles': '25335601.2070526534'}",Earth
18,2056-01-24,2056-Jan-24 11:03,2715937380000,"{'kilometers_per_second': '5.8207578574', 'kilometers_per_hour': '20954.7282866821', 'miles_per_hour': '13020.4532512442'}","{'astronomical': '0.1497821765', 'lunar': '58.2652666585', 'kilometers': '22407094.568364055', 'miles': '13923122.940991759'}",Earth
19,2062-12-31,2062-Dec-31 08:25,2934779100000,"{'kilometers_per_second': '5.7322434825', 'kilometers_per_hour': '20636.0765370681', 'miles_per_hour': '12822.4554460466'}","{'astronomical': '0.3029535232', 'lunar': '117.8489205248', 'kilometers': '45321201.779715584', 'miles': '28161288.9295956992'}",Earth
20,2069-11-08,2069-Nov-08 21:29,3151171740000,"{'kilometers_per_second': '4.2454176851', 'kilometers_per_hour': '15283.5036662481', 'miles_per_hour': '9496.5748197307'}","{'astronomical': '0.4647282185', 'lunar': '180.7792769965', 'kilometers': '69522351.616494595', 'miles': '43199186.121611611'}",Earth
21,2086-03-11,2086-Mar-11 22:55,3666725700000,"{'kilometers_per_second': '4.2258643769', 'kilometers_per_hour': '15213.1117567663', 'miles_per_hour': '9452.8360246418'}","{'astronomical': '0.3713100271', 'lunar': '144.4396005419', 'kilometers': '55547189.163802277', 'miles': '34515422.8449623426'}",Earth
22,2093-01-31,2093-Jan-31 15:47,3884255220000,"{'kilometers_per_second': '5.9749136221', 'kilometers_per_hour': '21509.6890394877', 'miles_per_hour': '13365.2842812306'}","{'astronomical': '0.1824638842', 'lunar': '70.9784509538', 'kilometers': '27296208.428246654', 'miles': '16961077.4217016652'}",Earth
23,2100-01-16,2100-Jan-16 11:39,4103782740000,"{'kilometers_per_second': '6.0149196633', 'kilometers_per_hour': '21653.7107877231', 'miles_per_hour': '13454.7737947383'}","{'astronomical': '0.2038791175', 'lunar': '79.3089767075', 'kilometers': '30499881.715479725', 'miles': '18951747.693781205'}",Earth
24,2106-12-04,2106-Dec-04 02:22,4320872520000,"{'kilometers_per_second': '3.8530305141', 'kilometers_per_hour': '13870.9098509079', 'miles_per_hour': '8618.8439570822'}","{'astronomical': '0.3922912542', 'lunar': '152.6012978838', 'kilometers': '58685936.047948554', 'miles': '36465749.7209118852'}",Earth
25,2123-04-10,2123-Apr-10 05:51,4836779460000,"{'kilometers_per_second': '3.7537243254', 'kilometers_per_hour': '13513.4075714592', 'miles_per_hour': '8396.7059434992'}","{'astronomical': '0.4497028378', 'lunar': '174.9344039042', 'kilometers': '67274586.667835486', 'miles': '41802489.7481862668'}",Earth
26,2130-02-14,2130-Feb-14 22:11,5053011060000,"{'kilometers_per_second': '6.0381849282', 'kilometers_per_hour': '21737.4657416866', 'miles_per_hour': '13506.8158659941'}","{'astronomical': '0.2781645724', 'lunar': '108.2060186636', 'kilometers': '41612827.540500788', 'miles': '25857012.0280873544'}",Earth
27,2137-01-25,2137-Jan-25 14:12,5272179120000,"{'kilometers_per_second': '5.8142759703', 'kilometers_per_hour': '20931.393493074', 'miles_per_hour': '13005.9539179604'}","{'astronomical': '0.1494623094', 'lunar': '58.1408383566', 'kilometers': '22359243.131520978', 'miles': '13893389.4368983764'}",Earth
28,2144-01-03,2144-Jan-03 10:26,5491103160000,"{'kilometers_per_second': '5.7943538473', 'kilometers_per_hour': '20859.6738502169', 'miles_per_hour': '12961.3901209861'}","{'astronomical': '0.296580393', 'lunar': '115.369772877', 'kilometers': '44367795.07656291', 'miles': '27568869.475111758'}",Earth
29,2150-11-12,2150-Nov-12 07:12,5707523520000,"{'kilometers_per_second': '4.1745035914', 'kilometers_per_hour': '15028.2129289863', 'miles_per_hour': '9337.9470835693'}","{'astronomical': '0.4609447583', 'lunar': '179.3075109787', 'kilometers': '68956354.029344821', 'miles': '42847491.5292516898'}",Earth
30,2167-03-16,2167-Mar-16 05:30,6223152600000,"{'kilometers_per_second': '4.026253601', 'kilometers_per_hour': '14494.512963503', 'miles_per_hour': '9006.3266800166'}","{'astronomical': '0.3774337428', 'lunar': '146.8217259492', 'kilometers': '56463283.989007836', 'miles': '35084657.7735706968'}",Earth
31,2174-02-03,2174-Feb-03 01:30,6440520600000,"{'kilometers_per_second': '6.0055431713', 'kilometers_per_hour': '21619.9554168322', 'miles_per_hour': '13433.7995199755'}","{'astronomical': '0.1884002692', 'lunar': '73.2877047188', 'kilometers': '28184278.979746604', 'miles': '17512898.8741029752'}",Earth
32,2181-01-17,2181-Jan-17 20:55,6660046500000,"{'kilometers_per_second': '5.9898389294', 'kilometers_per_hour': '21563.4201458554', 'miles_per_hour': '13398.6707011844'}","{'astronomical': '0.1980108125', 'lunar': '77.0262060625', 'kilometers': '29621995.786969375', 'miles': '18406254.672652375'}",Earth
33,2187-12-06,2187-Dec-06 23:28,6877265280000,"{'kilometers_per_second': '3.9833820614', 'kilometers_per_hour': '14340.1754211404', 'miles_per_hour': '8910.4273332081'}","{'astronomical': '0.3873137309', 'lunar': '150.6650413201', 'kilometers': '57941309.164393183', 'miles': '36003060.0306766054'}",Earth
